Site,Name,Lat,Long,Start,End
58214,LISMORE AIRPORT AWS,-28.8305,153.2601,2002-02-01,2024-07-01
35139,LOCHINGTON,-23.9424,147.525,2010-10-01,2024-07-01
28008,LOCKHART RIVER AIRPORT,-12.785,143.3047,1965-01-01,2024-07-01
79028,LONGERENONG,-36.6722,142.2991,1965-01-01,2024-07-01
36031,LONGREACH AERO,-23.4397,144.2828,1966-03-01,2024-07-01
200839,LORD HOWE ISLAND AERO,-31.5421,159.0786,1988-11-01,2024-07-01
91293,LOW HEAD,-41.0547,146.7874,1998-01-01,2024-07-01
31037,LOW ISLES LIGHTHOUSE,-16.3842,145.5592,1967-10-01,2024-07-01
97080,LOW ROCKY POINT,-42.9831,145.5025,1992-03-01,2024-07-01
24024,LOXTON RESEARCH CENTRE,-34.439,140.5978,1984-06-01,2024-07-01
91259,LUNCHEON HILL (FORESTRY),-41.1492,145.1517,1995-09-01,2024-07-01
94041,MAATSUYKER ISLAND LIGHTHOUSE,-43.6578,146.2711,1957-01-01,2024-07-01
33045,MACKAY AERO,-21.1706,149.1794,1950-05-01,2024-07-01
33119,MACKAY M.O,-21.1172,149.2169,1959-09-01,2024-07-01
300004,MACQUARIE ISLAND,-54.4994,158.9369,1948-04-01,2024-07-01
61428,MAITLAND AIRPORT AWS,-32.7023,151.4881,2016-07-01,2024-07-01
84084,MALLACOOTA,-37.5976,149.7289,1993-04-01,2024-07-01
9977,MANDURAH,-32.5219,115.7119,2001-10-01,2024-07-01
88109,MANGALORE AIRPORT,-36.8886,145.1859,1959-01-01,2024-07-01
61375,MANGROVE MOUNTAIN AWS,-33.2894,151.2107,1994-07-01,2024-07-01
14405,MANINGRIDA AIRPORT,-12.0569,134.2339,2003-10-01,2024-07-01
9573,MANJIMUP,-34.2508,116.145,1957-01-01,2024-07-01
4106,MARBLE BAR,-21.1756,119.7497,2000-09-01,2024-07-01
5008,MARDIE,-21.1906,115.9797,1957-01-01,2024-07-01
31210,MAREEBA AIRPORT,-17.0704,145.4293,2000-06-01,2024-07-01
92124,MARIA ISLAND (POINT LESUEUR),-42.6621,148.0179,2004-05-01,2024-07-01
200704,MARION REEF,-19.0964,152.3892,1972-09-01,2024-07-01
63308,MARRANGAROO (DEFENCE),-33.4346,150.135,2017-12-01,2024-07-01
17126,MARREE AERO,-29.6587,138.0684,1998-07-01,2024-07-01
40126,MARYBOROUGH,-25.5132,152.7152,1957-01-01,2024-07-01
300001,MAWSON,-67.6017,62.8753,1954-02-01,2024-07-01
14704,MCARTHUR RIVER MINE AIRPORT,-16.4423,136.076,1969-01-01,2024-07-01
14274,MCCLUER ISLAND,-11.0468,132.9791,1993-08-01,2024-07-01
7045,MEEKATHARRA AIRPORT,-26.6136,118.5372,1950-04-01,2024-07-01
86338,MELBOURNE (OLYMPIC PARK),-37.8255,144.9816,2013-05-01,2024-07-01
86282,MELBOURNE AIRPORT,-37.6654,144.8322,1970-07-01,2024-07-01
69147,MERIMBULA AIRPORT AWS,-36.9077,149.8989,1998-02-01,2024-07-01
61287,MERRIWA (ROSCOMMON),-32.1852,150.1737,2007-08-01,2024-07-01
200001,MIDDLE PERCY ISLAND,-21.6628,150.2711,1999-01-01,2024-07-01
14041,MIDDLE POINT,-12.605,131.2988,2001-08-01,2024-07-01
76031,MILDURA AIRPORT,-34.2358,142.0867,1946-01-01,2024-07-01
42112,MILES CONSTANCE STREET,-26.6569,150.1819,1997-07-01,2024-07-01
14404,MILINGIMBI AIRPORT,-12.0932,134.8919,2003-03-01,2024-07-01
9281,MILLENDON (SWAN VALLEY),-31.8112,116.0227,2017-05-01,2024-07-01
22031,MINLATON AERO,-34.748,137.5276,2001-04-01,2024-07-01
18195,MINNIPA PIRSA,-32.8427,135.1515,1996-07-01,2024-07-01
69017,MONTAGUE ISLAND LIGHTHOUSE,-36.2519,150.2275,1962-01-01,2024-07-01
17123,MOOMBA AIRPORT,-28.0997,140.1956,1995-06-01,2024-07-01
86077,MOORABBIN AIRPORT,-37.98,145.0962,1971-08-01,2024-07-01
34035,MORANBAH AIRPORT,-22.0644,148.0758,2012-02-01,2024-07-01
8296,MORAWA AIRPORT,-29.2039,116.0247,1997-03-01,2024-07-01
53115,MOREE AERO,-29.4898,149.8471,1995-05-01,2024-07-01
90176,MORTLAKE RACECOURSE,-38.0737,142.7744,1990-01-01,2024-07-01
69148,MORUYA AIRPORT AWS,-35.9004,150.1437,1999-10-01,2024-07-01
85280,MORWELL (LATROBE VALLEY AIRPORT),-38.2094,146.4746,1984-01-01,2024-07-01
68239,MOSS VALE AWS,-34.5253,150.4217,2001-02-01,2024-07-01
85291,MOUNT BAW BAW,-37.8384,146.2747,1997-08-01,2024-07-01
63292,MOUNT BOYCE AWS,-33.6185,150.2741,1989-08-01,2024-07-01
83024,MOUNT BULLER,-37.145,146.4394,1985-03-01,2024-07-01
14983,MOUNT BUNDEY NORTH (DEFENCE),-12.9141,131.8663,2017-09-01,2024-07-01
14984,MOUNT BUNDEY SOUTH (DEFENCE),-13.0889,131.8478,2017-09-01,2024-07-01
23878,MOUNT CRAWFORD AWS,-34.7253,138.9278,1994-04-01,2024-07-01
26021,MOUNT GAMBIER AERO,-37.7473,140.7739,1941-08-01,2024-07-01
70349,MOUNT GININI AWS,-35.5293,148.7721,2004-06-01,2024-07-01
83085,MOUNT HOTHAM,-36.9772,147.1342,1990-08-01,2024-07-01
29127,MOUNT ISA AERO,-20.6778,139.4875,1966-12-01,2024-07-01
23842,MOUNT LOFTY,-34.9784,138.7088,1987-10-01,2024-07-01
7600,MOUNT MAGNET AERO,-28.1156,117.8425,1995-06-01,2024-07-01
85296,MOUNT MOORNAPA,-37.7481,147.1428,1993-12-01,2024-07-01
84144,MOUNT NOWA NOWA,-37.6924,148.0908,1995-11-01,2024-07-01
97085,MOUNT READ,-41.8444,145.5417,1996-09-01,2024-07-01
32195,MOUNT STUART (DEFENCE),-19.4082,146.762,2017-09-01,2024-07-01
62101,MUDGEE AIRPORT AWS,-32.5628,149.6149,1989-08-01,2024-07-01
47113,MULURULU AWS,-33.3392,143.4,2017-07-01,2024-07-01
12044,MUNGLINUP WEST,-33.5547,120.6997,2002-05-01,2024-07-01
14309,MURGANELLA AIRSTRIP,-11.5485,132.9266,2012-10-01,2024-07-01
24584,MURRAY BRIDGE (PALLAMANA AERODROME),-35.065,139.2273,2006-03-01,2024-07-01
61392,MURRURUNDI GAP AWS,-31.7416,150.7937,2003-06-01,2024-07-01
40988,NAMBOUR DAFF - HILLSIDE,-26.6442,152.9383,2007-12-01,2024-07-01
26099,NARACOORTE AERODROME,-36.9813,140.727,1998-06-01,2024-07-01
54038,NARRABRI AIRPORT AWS,-30.3154,149.8302,2001-07-01,2024-07-01
74148,NARRANDERA AIRPORT AWS,-34.705,146.514,1968-02-01,2024-07-01
18115,NEPTUNE ISLAND,-35.3365,136.1174,1962-01-01,2024-07-01
69128,NERRIGA AWS,-35.1103,150.0826,2013-06-01,2024-07-01
37059,NEW MAY DOWNS,-20.59,139.3411,2013-08-01,2024-07-01
61055,NEWCASTLE NOBBYS SIGNAL STATION AWS,-32.9184,151.7985,1957-01-01,2024-07-01
10692,NEWDEGATE RESEARCH STATION,-33.1129,118.84,1996-06-01,2024-07-01
7176,NEWMAN AERO,-23.4213,119.8023,1994-11-01,2024-07-01
14517,NGAYAWILI,-11.9971,135.5726,1999-10-01,2024-07-01
14299,NGUKURR AIRPORT,-14.7236,134.7456,2012-07-01,2024-07-01
78015,NHILL AERODROME,-36.3093,141.6486,2003-06-01,2024-07-01
85313,NILMA NORTH (WARRAGUL),-38.1321,145.9865,2014-01-01,2024-07-01
23885,NOARLUNGA,-35.1586,138.5057,2000-09-01,2024-07-01
48250,NOONA AWS,-31.7267,144.9313,2017-07-01,2024-07-01
14314,NOONAMAH AIRSTRIP,-12.6099,131.0474,2013-06-01,2024-07-01
61366,NORAH HEAD AWS,-33.2814,151.5766,1995-02-01,2024-07-01
200288,NORFOLK ISLAND AERO,-29.0389,167.9408,1939-04-01,2024-07-01
29063,NORMANTON AIRPORT,-17.6872,141.0733,2001-04-01,2024-07-01
12009,NORSEMAN AERO,-32.2147,121.7547,1999-12-01,2024-07-01
8290,NORTH ISLAND,-28.3009,113.5937,1990-06-01,2024-07-01
18192,NORTH SHIELDS (PORT LINCOLN AWS),-34.5993,135.8784,1992-04-01,2024-07-01
9998,NORTH WALPOLE,-34.9469,116.7222,2004-01-01,2024-07-01
68072,NOWRA RAN AIR STATION AWS,-34.9469,150.5353,2000-11-01,2024-07-01
18106,NULLARBOR,-31.4492,130.8976,1986-11-01,2024-07-01
62100,NULLO MOUNTAIN AWS,-32.7244,150.229,1990-08-01,2024-07-01
23373,NURIOOTPA PIRSA,-34.4761,139.0056,1996-08-01,2024-07-01
41359,OAKEY AERO,-27.4034,151.7413,1973-05-01,2024-07-01
14310,OENPELLI AIRPORT,-12.3272,133.0069,2012-09-01,2024-07-01
83090,OMEO,-37.1017,147.6008,2004-08-01,2024-07-01
5017,ONSLOW AIRPORT,-21.6689,115.1092,1940-08-01,2024-07-01
17043,OODNADATTA AIRPORT,-27.5553,135.4456,1939-03-01,2024-07-01
33329,OORALEA RACECOURSE (MACKAY TURF CLUB),-21.17,149.1515,2016-06-01,2024-07-01
63303,ORANGE AIRPORT AWS,-33.3768,149.1263,1996-04-01,2024-07-01
84145,ORBOST,-37.6922,148.4667,2000-11-01,2024-07-01
95048,OUSE FIRE STATION,-42.4842,146.7106,1998-07-01,2024-07-01
26100,PADTHAWAY SOUTH,-36.6539,140.5212,2000-05-01,2024-07-01
28004,PALMERVILLE,-15.9999,144.0754,1895-12-01,2024-07-01
7185,PARABURDOO AERO,-23.1726,117.7493,1996-03-01,2024-07-01
23013,PARAFIELD AIRPORT,-34.7977,138.6281,1939-04-01,2024-07-01
23875,PARAWA (SECOND VALLEY FOREST AWS),-35.5695,138.2864,1994-06-01,2024-07-01
65068,PARKES AIRPORT AWS,-33.1281,148.2428,1965-01-01,2024-07-01
22843,PARNDANA CFS AWS,-35.7916,137.2496,2011-09-01,2024-07-01
61250,PATERSON (TOCAL AWS),-32.6296,151.5919,1967-11-01,2024-07-01
9053,PEARCE RAAF,-31.6669,116.0189,1940-11-01,2024-07-01
67113,PENRITH LAKES AWS,-33.7195,150.6783,1995-09-01,2024-07-01
71075,PERISHER VALLEY AWS,-36.4069,148.4055,2010-05-01,2024-07-01
9021,PERTH AIRPORT,-31.9275,115.9764,1944-05-01,2024-07-01
9225,PERTH METRO,-31.9192,115.8728,1994-01-01,2024-07-01
14142,PIRLANGIMPI AIRPORT,-11.4021,130.4217,1979-11-01,2024-07-01
87185,POINT COOK RAAF,-37.9273,144.7566,2021-12-01,2024-07-01
200731,POINT FAWCETT,-11.7628,130.03,1973-10-01,2024-07-01
18201,PORT AUGUSTA AERO,-32.5073,137.7169,2001-07-01,2024-07-01
90175,PORT FAIRY AWS,-38.3906,142.2348,1990-10-01,2024-07-01
4032,PORT HEDLAND AIRPORT,-20.3725,118.6317,1942-09-01,2024-07-01
14948,PORT KEATS AIRPORT,-14.2494,129.5282,1997-08-01,2024-07-01
68253,PORT KEMBLA NTC AWS,-34.4734,150.9118,2012-07-01,2024-07-01
60168,PORT MACQUARIE AIRPORT AWS,-31.4343,152.8662,2020-10-01,2024-07-01
21139,PORT PIRIE AERODROME AWS,-33.2371,137.9971,2015-01-01,2024-07-01
90171,PORTLAND AIRPORT,-38.3148,141.4705,1982-06-01,2024-07-01
90192,PORTLAND NTC AWS,-38.3439,141.6136,2011-04-01,2024-07-01
85099,POUND CREEK,-38.6297,145.8107,2007-04-01,2024-07-01
33247,PROSERPINE AIRPORT,-20.4925,148.555,1988-12-01,2024-07-01
88167,PUCKAPUNYAL LYON HILL (DEFENCE),-36.9381,145.0539,2018-10-01,2024-07-01
88166,PUCKAPUNYAL WEST (DEFENCE),-37.0177,144.8546,2018-10-01,2024-07-01
79101,PYRENEES (BEN NEVIS),-37.2281,143.2005,2007-12-01,2024-07-01
15666,RABBIT FLAT,-20.1823,130.0148,1996-11-01,2024-07-01
11053,RED ROCKS POINT,-32.2028,127.5297,1999-12-01,2024-07-01
40958,REDCLIFFE,-27.2169,153.0922,2004-02-01,2024-07-01
88051,REDESDALE,-37.0194,144.5203,1993-06-01,2024-07-01
140007,REDLAND (ALEXANDRA HILLS),-27.5433,153.2394,2015-08-01,2024-07-01
24048,RENMARK AERO,-34.1983,140.6766,1995-08-01,2024-07-01
86373,RHYLL,-38.4612,145.3101,1990-06-01,2024-07-01
30161,RICHMOND AIRPORT,-20.7001,143.1137,1998-03-01,2024-07-01
67105,RICHMOND RAAF,-33.6004,150.7761,1993-10-01,2024-07-01
26105,ROBE AIRFIELD,-37.1776,139.8054,2003-07-01,2024-07-01
39083,ROCKHAMPTON AERO,-23.3753,150.4775,1939-08-01,2024-07-01
9964,ROCKY GULLY,-34.5714,117.0106,1996-01-01,2024-07-01
4090,ROEBOURNE AERO,-20.7594,117.1583,2001-06-01,2024-07-01
35129,ROLLESTON AIRPORT,-24.4617,148.6264,2010-07-01,2024-07-01
43091,ROMA AIRPORT,-26.5477,148.771,1992-07-01,2024-07-01
23122,ROSEWORTHY AWS,-34.5106,138.6763,1997-08-01,2024-07-01
33208,ROSSLYN BAY NTC AWS,-23.161,150.7901,2012-07-01,2024-07-01
9193,ROTTNEST ISLAND,-32.0069,115.5022,1987-11-01,2024-07-01
200713,ROWLEY SHOALS,-17.5217,118.9531,1972-09-01,2024-07-01
16096,ROXBY DOWNS (OLYMPIC DAM AERODROME),-30.4869,136.8739,1997-12-01,2024-07-01
39322,RUNDLE ISLAND,-23.5322,151.2771,1994-10-01,2024-07-01
82039,RUTHERGLEN RESEARCH,-36.1048,146.5094,1913-09-01,2024-07-01
12071,SALMON GUMS RES.STN.,-32.9869,121.6239,1965-01-01,2024-07-01
33308,SAMUEL HILL AERO,-22.7433,150.6578,1997-03-01,2024-07-01
27075,SCHERGER RAAF,-12.6167,142.0869,2005-12-01,2024-07-01
61363,SCONE AIRPORT AWS,-32.0335,150.8264,1990-01-01,2024-07-01
86104,SCORESBY RESEARCH INSTITUTE,-37.871,145.2561,1965-01-01,2024-07-01
97083,SCOTTS PEAK DAM,-43.0425,146.2722,1998-10-01,2024-07-01
91219,SCOTTSDALE (WEST MINSTONE ROAD),-41.1708,147.4883,1971-03-01,2024-07-01
9968,SHANNON,-34.5683,116.3367,1996-12-01,2024-07-01
6105,SHARK BAY AIRPORT,-25.8925,113.5772,2000-07-01,2024-07-01
87168,SHE OAKS,-37.9075,144.1303,1990-06-01,2024-07-01
91291,SHEFFIELD SCHOOL FARM,-41.389,146.3173,1997-02-01,2024-07-01
81125,SHEPPARTON AIRPORT,-36.4288,145.3949,1996-07-01,2024-07-01
61430,SINGLETON DEFENCE AWS,-32.6976,151.1564,2017-04-01,2024-07-01
91292,SMITHTON AERODROME,-40.8347,145.0847,1996-12-01,2024-07-01
46142,SMITHVILLE AWS,-30.0692,141.0067,2017-07-01,2024-07-01
21133,SNOWTOWN (RAYVILLE PARK),-33.7676,138.2182,1998-07-01,2024-07-01
32037,SOUTH JOHNSTONE EXP STN,-17.6053,145.9972,1965-01-01,2024-07-01
12320,SOUTHERN CROSS AIRFIELD,-31.2353,119.3564,1996-10-01,2024-07-01
92133,SPRING BAY NTC AWS,-42.5464,147.9308,2013-05-01,2024-07-01
43109,ST GEORGE AIRPORT,-28.0478,148.5957,1997-05-01,2024-07-01
92120,ST HELENS AERODROME,-41.3381,148.2792,2001-01-01,2024-07-01
33210,ST LAWRENCE,-22.3472,149.5242,2004-08-01,2024-07-01
79105,STAWELL AERODROME,-37.072,142.7402,1996-02-01,2024-07-01
22049,STENHOUSE BAY,-35.2795,136.9392,1996-02-01,2024-07-01
97072,STRAHAN AERODROME,-42.155,145.2908,1976-09-01,2024-07-01
24580,STRATHALBYN RACECOURSE,-35.2836,138.8934,1996-07-01,2024-07-01
40861,SUNSHINE COAST AIRPORT,-26.599,153.0912,1994-07-01,2024-07-01
77094,SWAN HILL AERODROME,-35.3766,143.5416,1996-12-01,2024-07-01
92123,SWAN ISLAND,-40.7292,148.125,2001-10-01,2024-07-01
9215,SWANBOURNE,-31.956,115.7619,1993-09-01,2024-07-01
66214,SYDNEY (OBSERVATORY HILL),-33.8593,151.2048,2017-10-01,2024-07-01
66037,SYDNEY AIRPORT AMO,-33.9465,151.1731,1939-04-01,2024-07-01
66196,SYDNEY HARBOUR (WEDDING CAKE WEST),-33.8405,151.2643,1997-09-01,2024-07-01
66212,SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE),-33.8338,151.0718,2011-08-01,2024-07-01
55325,TAMWORTH AIRPORT AWS,-31.0742,150.8362,1992-02-01,2024-07-01
16098,TARCOOLA AERO,-30.7051,134.5786,1997-10-01,2024-07-01
60141,TAREE AIRPORT AWS,-31.8895,152.512,1997-07-01,2024-07-01
94155,TASMAN ISLAND,-43.2397,148.0025,2001-12-01,2024-07-01
81049,TATURA INST SUSTAINABLE AG,-36.4379,145.2673,1965-01-01,2024-07-01
13030,TELFER AERO,-21.7125,122.2281,1974-06-01,2024-07-01
73151,TEMORA AIRPORT,-34.4277,147.5117,2005-02-01,2024-07-01
15135,TENNANT CREEK AIRPORT,-19.6423,134.1833,1969-07-01,2024-07-01
66059,TERREY HILLS AWS,-33.6908,151.2253,2004-09-01,2024-07-01
15643,TERRITORY GRAPE FARM,-22.4518,133.6377,1987-05-01,2024-07-01
40908,TEWANTIN RSL PARK,-26.3911,153.0403,1996-01-01,2024-07-01
39089,THANGOOL AIRPORT,-24.4935,150.5709,1964-03-01,2024-07-01
45025,THARGOMINDAH AIRPORT,-27.9867,143.815,1999-07-01,2024-07-01
37034,THE MONUMENT AIRPORT,-21.8125,139.9267,2000-12-01,2024-07-01
71032,THREDBO AWS,-36.4917,148.2859,1966-11-01,2024-07-01
46126,TIBOOBURRA AIRPORT,-29.4448,142.0567,1997-09-01,2024-07-01
140010,TIN CAN BAY (DEFENCE),-25.9351,152.9647,2018-03-01,2024-07-01
14932,TINDAL RAAF,-14.5229,132.3826,1985-01-01,2024-07-01
41529,TOOWOOMBA AIRPORT,-27.5425,151.9134,1996-06-01,2024-07-01
32040,TOWNSVILLE AERO,-19.2483,146.7661,1940-11-01,2024-07-01
32196,TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),-19.3048,146.2438,2017-09-01,2024-07-01
33328,TOWNSVILLE- FANNING RIVER (DEFENCE),-19.783,146.5,2017-09-01,2024-07-01
51049,TRANGIE RESEARCH STATION AWS,-31.9861,147.9489,1968-12-01,2024-07-01
37036,TREPELL AIRPORT,-21.84,140.8925,2001-08-01,2024-07-01
1007,TROUGHTON ISLAND,-13.7542,126.1485,1957-01-01,2024-07-01
1020,TRUSCOTT,-14.09,126.3867,2000-01-01,2024-07-01
70339,TUGGERANONG (ISABELLA PLAINS) AWS,-35.4184,149.0937,1996-05-01,2024-07-01
94195,TUNNACK FIRE STATION,-42.4543,147.4612,1997-08-01,2024-07-01
69138,ULLADULLA AWS,-35.3635,150.4828,1990-08-01,2024-07-01
40082,UNIVERSITY OF QUEENSLAND GATTON,-27.5436,152.3375,1965-01-01,2024-07-01
37058,URANDANGI AERODROME,-21.5979,138.3665,2012-09-01,2024-07-01
14825,VICTORIA RIVER DOWNS,-16.403,131.0145,1965-01-01,2024-07-01
86068,VIEWBANK,-37.7408,145.0972,1999-11-01,2024-07-01
72150,WAGGA WAGGA AMO,-35.1583,147.4575,1941-08-01,2024-07-01
51162,WALGETT (BREWON AWS),-30.2411,147.5327,2017-05-01,2024-07-01
52088,WALGETT AIRPORT AWS,-30.0372,148.1223,1993-06-01,2024-07-01
88162,WALLAN (KILMORE GAP),-37.3807,144.9654,1993-12-01,2024-07-01
76064,WALPEUP RESEARCH,-35.1201,142.004,1965-01-01,2024-07-01
15664,WALUNGURRU AIRPORT,-23.2656,129.3844,2001-10-01,2024-07-01
46136,WANAARING (BORRONA DOWNS AWS),-29.7614,143.1135,2017-07-01,2024-07-01
48247,WANAARING (DELTA AWS),-30.1006,145.3338,2017-08-01,2024-07-01
10917,WANDERING,-32.6722,116.6706,1998-12-01,2024-07-01
82138,WANGARATTA AERO,-36.4205,146.3056,1987-05-01,2024-07-01
13011,WARBURTON AIRFIELD,-26.1317,126.5839,1969-01-01,2024-07-01
97024,WARRA,-43.0609,146.704,2004-09-01,2024-07-01
90186,WARRNAMBOOL AIRPORT NDB,-38.2869,142.4524,1998-10-01,2024-07-01
14401,WARRUWI AIRPORT,-11.65,133.3797,1957-01-01,2024-07-01
41525,WARWICK,-28.2061,152.1003,1994-03-01,2024-07-01
27045,WEIPA AERO,-12.6778,141.9208,1992-11-01,2024-07-01
50017,WEST WYALONG AIRPORT AWS,-33.9382,147.1962,1999-04-01,2024-07-01
89112,WESTMERE,-37.7067,142.9378,2006-02-01,2024-07-01
46129,WHITE CLIFFS AWS,-30.8522,143.0743,2005-07-01,2024-07-01
18120,WHYALLA AERO,-33.0539,137.5206,1982-07-01,2024-07-01
46012,WILCANNIA AERODROME AWS,-31.5194,143.385,2000-01-01,2024-07-01
33195,WILLIAMSON,-22.4703,150.1786,2005-06-01,2024-07-01
61078,WILLIAMTOWN RAAF,-32.7939,151.8364,1942-09-01,2024-07-01
200283,WILLIS ISLAND,-16.2878,149.9652,1921-11-01,2024-07-01
85096,WILSONS PROMONTORY LIGHTHOUSE,-39.1297,146.4246,1957-01-01,2024-07-01
13044,WILUNA AERO,-26.6273,120.2195,2017-11-01,2024-07-01
38076,WINDORAH AIRPORT,-25.4117,142.6647,2016-08-01,2024-07-01
37039,WINTON AIRPORT,-22.3617,143.0836,2002-10-01,2024-07-01
109521,WITCHCLIFFE WEST,-34.0258,115.0637,2022-06-01,2024-07-01
16001,WOOMERA AERODROME,-31.1558,136.8054,1949-04-01,2024-07-01
18083,WUDINNA AERO,-33.043,135.4519,1999-04-01,2024-07-01
1006,WYNDHAM AERO,-15.51,128.1503,2000-09-01,2024-07-01
91107,WYNYARD AIRPORT,-40.9964,145.7311,1961-01-01,2024-07-01
58012,YAMBA PILOT STATION,-29.4325,153.3632,1944-01-01,2024-07-01
3108,YAMPI SOUND (DEFENCE),-16.7671,123.981,2018-10-01,2024-07-01
74037,YANCO AGRICULTURAL INSTITUTE,-34.6222,146.4326,1999-08-01,2024-07-01
85151,YARRAM AIRPORT,-38.5647,146.7479,2007-10-01,2024-07-01
81124,YARRAWONGA,-36.0294,146.0305,1993-05-01,2024-07-01
33294,YEPPOON THE ESPLANADE,-23.1364,150.7506,1993-11-01,2024-07-01
73138,YOUNG AIRPORT,-34.2493,148.2475,1989-08-01,2024-07-01
15635,YULARA AIRPORT,-25.1896,130.9737,1983-06-01,2024-07-01
20062,YUNTA AIRSTRIP,-32.5707,139.5645,1998-07-01,2024-07-01
